Ls_num,Name,Portfolio,Rank,Year,appointment_begin,Constituency_No,State_name,Poll_No,gender,party,ID
17,Shri Narendra Modi,"Prime Minister; and Personnel, Public Grievances and Pensions; Department of Atomic Energy; Department of Space; and All important policy issues; and All other portfolios not allocated to any Minister",PM,2019,30-05-2019,77,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_77_0_1
17,Shri Narendra Modi,"Prime Minister; and Personnel, Public Grievances and Pensions; Department of Atomic Energy; Department of Space; and All important policy issues; and All other portfolios not allocated to any Minister.",PM,2019,14-06-2019,77,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_77_0_1
17,Shri Narendra Modi,"Prime Minister; and Personnel, Public Grievances and Pensions; Department of Atomic Energy; Department of Space; All important policy issues; and All other portfolios not allocated to any Minister",PM,2019,07-07-2021,77,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_77_0_1
17,Shri Raj Nath Singh,Defence,CM,2019,30-05-2019,35,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_35_0_1
17,Shri Amit Shah,Home Affairs,CM,2019,30-05-2019,6,Gujarat,0,M,BJP,17_Gujarat_6_0_1
17,Shri Amit Shah,Home Affairs; and Cooperation,CM,2019,07-07-2021,6,Gujarat,0,M,BJP,17_Gujarat_6_0_1
17,Shri Nitin Jairam Gadkari,"Road Transport and Highways; and Micro, Small and Medium Enterprises",CM,2019,30-05-2019,10,Maharashtra,0,M,BJP,17_Maharashtra_10_0_1
17,Shri Nitin Jairam Gadkari,"Road Transport and Highways; and Micro, Small and Medium Enterprises",CM,2019,14-06-2019,10,Maharashtra,0,M,BJP,17_Maharashtra_10_0_1
17,Shri Nitin Jairam Gadkari,Road Transport and Highways,CM,2019,07-07-2021,10,Maharashtra,0,M,BJP,17_Maharashtra_10_0_1
17,Shri D.V. Sadananda Gowda,Chemicals and Fertilizers,CM,2019,30-05-2019,24,Karnataka,0,M,BJP,17_Karnataka_24_0_1
17,Smt. Nirmala Sitharaman,Finance; and Corporate Affairs,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Ramvilas Paswan,"Consumer Affairs, Food and Public Distribution",CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare; Rural Development; and Panchayati Raj,CM,2019,30-05-2019,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare; Rural Development; and Panchayati Raj,CM,2019,14-06-2019,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare; Rural Development; Panchayati Raj; and Food Processing Industries,CM,2019,18-09-2020,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare,CM,2019,07-07-2021,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Ravi Shankar Prasad,Law and Justice; Communications; and Electronics and Information Technology,CM,2019,30-05-2019,30,Bihar,0,M,BJP,17_Bihar_30_0_1
17,Shri Ravi Shankar Prasad,Law and Justice; Communications; and Electronics and Information Technology,CM,2019,14-06-2019,30,Bihar,0,M,BJP,17_Bihar_30_0_1
17,Smt. Harsimrat Kaur Badal,Food Processing Industries,CM,2019,30-05-2019,11,Punjab,0,F,SAD,17_Punjab_11_0_1
17,Shri Thaawar Chand Gehlot,Social Justice and Empowerment,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Dr. Subrahmanyam Jaishankar,External Affairs,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Dr. Subrahmanyam Jaishankar,External Affair,CM,2019,09-11-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Dr. Subrahmanyam Jaishankar,External Affairs,CM,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Ramesh Pokhriyal Nishank,Human Resource Development,CM,2019,30-05-2019,5,Uttarakhand,0,M,BJP,17_Uttarakhand_5_0_1
17,Shri Ramesh Pokhriyal Nishank,Education,CM,2019,14-08-2020,5,Uttarakhand,0,M,BJP,17_Uttarakhand_5_0_1
17,Shri Arjun Munda,Tribal Affairs,CM,2019,30-05-2019,11,Jharkhand,0,M,BJP,17_Jharkhand_11_0_1
17,Smt. Smriti Zubin Irani,Women and Child Development; and Textiles,CM,2019,30-05-2019,37,Uttar_Pradesh,0,F,BJP,17_Uttar_Pradesh_37_0_1
17,Smt. Smriti Zubin Irani,Women and Child Development; and Textiles,CM,2019,14-06-2019,37,Uttar_Pradesh,0,F,BJP,17_Uttar_Pradesh_37_0_1
17,Smt. Smriti Zubin Irani,Women and Child Development,CM,2019,07-07-2021,37,Uttar_Pradesh,0,F,BJP,17_Uttar_Pradesh_37_0_1
17,Dr. Harsh Vardhan,Health and Family Welfare; Science and Technology; and Earth Sciences,CM,2019,30-05-2019,1,Delhi,0,M,BJP,17_Delhi_1_0_1
17,Dr. Harsh Vardhan,Health and Family Welfare; Science and Technology; and Earth Sciences,CM,2019,14-06-2019,1,Delhi,0,M,BJP,17_Delhi_1_0_1
17,Shri Prakash Javadekar,"Environment, Forest and Climate Change; and Information and Broadcasting",CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Prakash Javadekar,"Environment, Forest and Climate Change; and Information and Broadcasting",CM,2019,14-06-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Prakash Javadekar,"Environment, Forest and Climate Change; Information and Broadcasting; and Heavy Industries and Public Enterprises",CM,2019,12-11-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Prakash Javadekar,"Environment, Forest and Climate Change; Information and Broadcasting; and Heavy Industries and Public Enterprises",CM,2019,09-10-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Prakash Javadekar,"Environment, Forest and Climate Change; Information and Broadcasting; and Heavy Industries and Public Enterprises",CM,2019,09-11-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Piyush Goyal,Railways; and Commerce and Industry,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Piyush Goyal,"Railways; Commerce and Industry; and Consumer Affairs, Food and Public Distribution",CM,2019,09-10-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Piyush Goyal,"Commerce and Industry; Consumer Affairs, Food and Public Distribution; and Textiles",CM,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Dharmendra Pradhan,Petroleum and Natural Gas; and Steel,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Dharmendra Pradhan,Petroleum and Natural Gas; and Steel,CM,2019,14-06-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Dharmendra Pradhan,Petroleum and Natural Gas; and Stee,CM,2019,12-11-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Dharmendra Pradhan,Petroleum and Natural Gas; and Steel,CM,2019,14-08-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Dharmendra Pradhan,Petroleum and Natural Gas; and Steel,CM,2019,09-11-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Dharmendra Pradhan,Education; and Skill Development and Entrepreneurship,CM,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Mukhtar Abbas Naqvi,Minority Affairs,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Pralhad Joshi,Parliamentary Affairs; Coal; and Mines,CM,2019,30-05-2019,11,Karnataka,0,M,BJP,17_Karnataka_11_0_1
17,Shri Pralhad Joshi,Parliamentary Affairs; Coal; and Mines,CM,2019,14-06-2019,11,Karnataka,0,M,BJP,17_Karnataka_11_0_1
17,Dr. Mahendra Nath Pandey,Skill Development and Entrepreneurship,CM,2019,30-05-2019,76,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_76_0_1
17,Dr. Mahendra Nath Pandey,Heavy Industries,CM,2019,07-07-2021,76,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_76_0_1
17,Shri Arvind Ganpat Sawant,Heavy Industries and Public Enterprises,CM,2019,30-05-2019,31,Maharashtra,0,M,SHS,17_Maharashtra_31_0_1
17,Shri Giriraj Singh,"Animal Husbandry, Dairying and Fisheries",CM,2019,30-05-2019,24,Bihar,0,M,BJP,17_Bihar_24_0_1
17,Shri Giriraj Singh,"Fisheries, Animal Husbandry and Dairying",CM,2019,14-06-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Giriraj Singh,Rural Development; and Panchayati Raj,CM,2019,07-07-2021,24,Bihar,0,M,BJP,17_Bihar_24_0_1
17,Shri Gajendra Singh Shekhawat,Jal Shakti,CM,2019,30-05-2019,16,Rajasthan,0,M,BJP,17_Rajasthan_16_0_1
17,Shri Gajendra Singh Shekhawat,Jal Shakti,CM,2019,12-11-2019,16,Rajasthan,0,M,BJP,17_Rajasthan_16_0_1
17,Shri Gajendra Singh Shekhawat,Jal Shakti,CM,2019,18-09-2020,16,Rajasthan,0,M,BJP,17_Rajasthan_16_0_1
17,Shri Santosh Kumar Gangwar,Labour and Employment,MoS(IC),2019,30-05-2019,25,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_25_0_1
17,Rao Inderjit Singh,Statistics and Programme Implementation; and Planning,MoS(IC),2019,30-05-2019,9,Haryana,0,M,BJP,17_Haryana_9_0_1
17,Rao Inderjit Singh,Statistics and Programme Implementation; Planning; and Corporate Affairs,MoS(IC),2019,07-07-2021,9,Haryana,0,M,BJP,17_Haryana_9_0_1
17,Shri Shripad Yesso Naik,"Ayurveda, Yoga and Siddha Naturopathy, Unani, And Homoeopathy (AYUSH); and Defence",MoS(IC),2019,30-05-2019,1,Goa,0,M,BJP,17_Goa_1_0_1
17,Shri Shripad Yesso Naik,"Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH); and Defence",MoS(IC),2019,14-06-2019,1,Goa,0,M,BJP,17_Goa_1_0_1
17,Shri Shripad Yesso Naik,"Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH); and Defence",MoS(IC),2019,09-11-2020,1,Goa,0,M,BJP,17_Goa_1_0_1
17,Shri Shripad Yesso Naik,"Ports, Shipping and Waterways; and Tourism",MoS,2019,07-07-2021,1,Goa,0,M,BJP,17_Goa_1_0_1
17,Dr. Jitendra Singh,"Development of North Eastern Region; Minister  of  State  in  the  Prime  Minister's Office; Personnel, Public Grievances and Pensions; Minister   of   State   in   the   Department   of Atomic Energy; and State in the Department of Space",MoS(IC),2019,30-05-2019,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Dr. Jitendra Singh,"Development of North Eastern Region; State in the Prime Minister’s Office; Personnel, Public Grievances and Pensions; State in the Department of Atomic Energy; and State in the Department of Space",MoS(IC),2019,14-06-2019,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Dr. Jitendra Singh,"Development of North Eastern Region; State in the Prime Minister's Office; Personnel, Public Grievances and Pensions; State in the Department of Atomic Energy; and State in the Department of Space",MoS(IC),2019,12-11-2019,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Dr. Jitendra Singh,"Development of North Eastern Region; State in the Prime Minister’s Office; Personnel, Public Grievances and Pensions; State in the Department of Atomic Energy; and State in the Department of Space",MoS(IC),2019,14-08-2020,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Dr. Jitendra Singh,"Development of North Eastern Region; State in the Prime Minister’s Office; Personnel, Public Grievances and Pensions; State in the Department of Atomic Energy; and State in the Department of Space",MoS(IC),2019,18-09-2020,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Dr. Jitendra Singh,"Development of North Eastern Region; State in the Prime Minister’s Office; Personnel, Public Grievances and Pensions; State in the Department of Atomic Energy; and State in the Department of Space",MoS(IC),2019,09-10-2020,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Dr. Jitendra Singh,"Development of North Eastern Region; State in the Prime Minister's Office; Personnel, Public Grievances and Pensions; State in the Department of Atomic Energy; and State in the Department of Space",MoS(IC),2019,09-11-2020,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Dr. Jitendra Singh,"Science and Technology; Earth Sciences; State in the Prime Minister’s Office; Personnel, Public Grievances and Pensions; State in the Department of Atomic Energy; and State in the Department of Space",MoS(IC),2019,07-07-2021,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1
17,Shri Kiren Rijiju,Youth Affairs and Sports; and Minority Affairs,MoS(IC),2019,30-05-2019,1,Arunachal_Pradesh,0,M,BJP,17_Arunachal_Pradesh_1_0_1
17,Shri Kiren Rijiju,Youth Affairs and Sports; and Minority Affairs,MoS(IC),2019,14-06-2019,1,Arunachal_Pradesh,0,M,BJP,17_Arunachal_Pradesh_1_0_1
17,Shri Kiren Rijiju,Youth Affairs and Sports; and Minority Affairs,MoS(IC),2019,18-09-2020,1,Arunachal_Pradesh,0,M,BJP,17_Arunachal_Pradesh_1_0_1
17,Shri Kiren Rijiju,Youth Affairs and Sports; and Minority Affairs.,MoS(IC),2019,23-09-2020,1,Arunachal_Pradesh,0,M,BJP,17_Arunachal_Pradesh_1_0_1
17,Shri Kiren Rijiju,Law and Justice,CM,2019,07-07-2021,1,Arunachal_Pradesh,0,M,BJP,17_Arunachal_Pradesh_1_0_1
17,Shri Prahalad Singh Patel,Culture; and Tourism.,MoS(IC),2019,30-05-2019,7,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_7_0_1
17,Shri Prahalad Singh Patel,Jal Shakti; and Food Processing Industries,MoS,2019,07-07-2021,7,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_7_0_1
17,Shri Raj Kumar Singh,Minister  of  State  (Independent  Charge)  of the Power; New and Renewable Energy; and Minister  of  State  in  the  Ministry  of  Skill Development and Entrepreneurship.,MoS(IC),2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Raj Kumar Singh,Power; New and Renewable Energy; and Skill Development and Entrepreneurship.,MoS(IC),2019,14-06-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Raj Kumar Singh,Power; and New and Renewable Energy,CM,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Hardeep Singh Puri,Housing and Urban Affairs; Civil Aviation; and Commerce and Industry.,MoS(IC),2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Hardeep Singh Puri,Housing and Urban Affairs; Civil Aviation; and Commerce and Industry.,MoS(IC),2019,14-06-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Hardeep Singh Puri,Housing and Urban Affairs; Civil Aviation; and Commerce and Industry,MoS(IC),2019,09-10-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Hardeep Singh Puri,Housinq and Urban Affairs; Civil Aviation; and Commerce and Industry.,MoS(IC),2019,09-11-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Hardeep Singh Puri,Petroleum and Natural Gas; and Housing and Urban Affairs,CM,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Mansukh L. Mandaviya,Shipping; and Chemicals and Fertilizers.,MoS(IC),2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Faggansingh Kulaste,Steel,MoS,2019,30-05-2019,14,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_14_0_1
